val_recall,loss,val_loss,val_accuracy,recall,accuracy,val_precision,precision
0.9244288,0.2804330370256961,0.14526324244874886,0.9498681,0.8846661,0.88512695,0.97407407,0.8856389
0.96133566,0.16060686108202288,0.09317053921473346,0.9639402,0.93189806,0.9425085,0.9664311,0.95218855
0.9789104,0.1061349530414724,0.0616230614191121,0.97889185,0.9556239,0.9614158,0.9789104,0.9668815
0.9648506,0.08730786115778892,0.059975075202146955,0.9771328,0.9635325,0.96570295,0.9891892,0.96778464
0.97539544,0.08017944184602548,0.06619855591534825,0.9780123,0.96990335,0.97064966,0.98056537,0.97139716
0.9806678,0.06906956568034639,0.046810699899464146,0.98504835,0.9760545,0.9749368,0.9893617,0.9739149
0.97363794,0.05379248863643343,0.04728316718867651,0.9797713,0.9817663,0.9809827,0.9857651,0.9802588
0.9841828,0.04796181145692869,0.06593011414429575,0.9683377,0.98242533,0.9817522,0.9540034,0.9811321
0.9859402,0.046173027225887495,0.043019729937960854,0.9894459,0.9850615,0.9831813,0.99292034,0.9813964
0.9841828,0.047731971701520166,0.045201042316476724,0.98153037,0.9819859,0.9815324,0.97902095,0.9811238
0.98242533,0.03391331750447571,0.04624133776793511,0.9841689,0.9872584,0.9874684,0.9858906,0.9876923
0.9806678,0.040555400162283255,0.040939796335393554,0.98153037,0.9850615,0.9845004,0.98239434,0.9839807
0.97012305,0.034352845011063234,0.06831969538246511,0.98065084,0.9887961,0.98812795,0.99102336,0.9874945
0.9859402,0.03565572222882499,0.04156012084128901,0.98153037,0.987478,0.98801804,0.9773519,0.9885639
0.96836555,0.031488329723885336,0.04610806596250639,0.98240983,0.9890158,0.98889744,0.99638337,0.9887986
0.9859402,0.029204199077377212,0.03729633977523795,0.9876869,0.9914323,0.99021655,0.98941797,0.9890423
0.97539544,0.02853722138923735,0.04114934093814778,0.9859279,0.99099296,0.99065626,0.99640936,0.9903403
0.9806678,0.02394396250393696,0.0470893015841683,0.9797713,0.9918717,0.99153566,0.97894734,0.99121845
0.98242533,0.028372003892143807,0.041582870753630194,0.9885664,0.98989457,0.99010664,0.9946619,0.9903297
0.9718805,0.01874498508806629,0.09175775616875266,0.9780123,0.99253076,0.992525,0.9839858,0.99253076
0.96309316,0.02711713946007049,0.05596317052728117,0.9771328,0.9920914,0.99175555,0.9909584,0.991438
0.97363794,0.022726609369599336,0.07277852844786906,0.98328936,0.99253076,0.992525,0.9928315,0.99253076
0.9859402,0.018948927529023905,0.04204991486148536,0.9868074,0.9929701,0.99340445,0.9876761,0.99384344
0.9771529,0.02390152630814297,0.08263772860483372,0.9859279,0.99253076,0.992525,0.99463326,0.99253076
0.9789104,0.015178431203158121,0.039792476740506885,0.9885664,0.99538666,0.9949434,0.99820787,0.99451274
0.98242533,0.019601576933185597,0.05843057640186398,0.98065084,0.99494725,0.99384415,0.97898424,0.9927663
0.9876977,0.01597503401586669,0.06930328608956846,0.98240983,0.9960457,0.9945037,0.9773913,0.9929917
0.97363794,0.02465745931214492,0.04755716194470452,0.98240983,0.9931898,0.9928548,0.9910554,0.99253565
0.9806678,0.012773673716444585,0.07480852621487773,0.98240983,0.995826,0.9958228,0.984127,0.995826
0.9859402,0.017992684279903456,0.062766097784383,0.9885664,0.9947276,0.99395406,0.99116606,0.99320024
0.98945516,0.022116635929831582,0.043232743166978053,0.9885664,0.99406856,0.99384415,0.9877193,0.99363196
0.9841828,0.0158370190777366,0.039561170770145364,0.9868074,0.99516696,0.99472356,0.9893993,0.9942932
0.9806678,0.014121019446083577,0.06590302873134746,0.98504835,0.99648505,0.995493,0.9893617,0.99451876
0.9841828,0.02019064931211287,0.04872344874545184,0.9868074,0.9945079,0.994064,0.9893993,0.99363476
0.9771529,0.012897984917064615,0.0519006274017716,0.9868074,0.99538666,0.99483347,0.9964158,0.99429446
0.97539544,0.01660378327429145,0.05243675860001999,0.9841689,0.9945079,0.99395406,0.99284434,0.9934167
0.97539544,0.013429025752829959,0.054635253318769866,0.98504835,0.995826,0.9952732,0.99462366,0.9947334
0.9789104,0.011185875841059312,0.056339739731895995,0.9868074,0.995826,0.9959327,0.99464285,0.9960448
0.97363794,0.011552796441644194,0.13448718481570146,0.9868074,0.9975835,0.99681216,1.0,0.9960518
0.9806678,0.012885781872236844,0.05422329727310957,0.9859279,0.9969244,0.9964824,0.991119,0.99604917
0.97363794,0.01510919237708818,0.07891553284028265,0.98328936,0.9956063,0.9953831,0.9928315,0.9951691
0.97363794,0.014748502644344838,0.08931331758774892,0.98065084,0.99516696,0.9950533,0.9875223,0.9949484
0.9771529,0.016351076733212237,0.08202803154849851,0.98504835,0.99494725,0.9953831,0.99285716,0.9958223
0.98242533,0.013376453764284294,0.0768993474230436,0.9859279,0.9971441,0.9971419,0.98938054,0.9971441
0.9876977,0.009168457028453293,0.06911361566019228,0.98504835,0.9973638,0.9971419,0.9825175,0.9969258
0.97363794,0.011359447165769964,0.07698759388592516,0.9859279,0.9984622,0.9978015,0.9981982,0.99714786
0.9841828,0.016589619030123556,0.053539889604557855,0.9868074,0.9956063,0.995493,0.9893993,0.9953877
0.9841828,0.014307725089847864,0.07235456992299771,0.9859279,0.9975835,0.99681216,0.9876543,0.9960518
0.9771529,0.022333337722376185,0.08839162000113894,0.98504835,0.9947276,0.9937342,0.99285716,0.9927648
0.97539544,0.009659734646712291,0.06202688063115699,0.98328936,0.995826,0.9958228,0.9910714,0.995826
0.98242533,0.011424043111915546,0.0680620250373256,0.9876869,0.99538666,0.99604267,0.9928952,0.9967004
0.9806678,0.010080703223603566,0.06703939431382702,0.98504835,0.9975835,0.9975816,0.9893617,0.9975835
0.97539544,0.014682041048539575,0.08275631386225595,0.98328936,0.99648505,0.9957129,0.9910714,0.99495506
0.98945516,0.009853162326449599,0.06545079151734982,0.98504835,0.99648505,0.99681216,0.9808362,0.99714226
0.9841828,0.011177629257636488,0.09318906541165306,0.98504835,0.9969244,0.9963724,0.9859155,0.9958306
0.97539544,0.014285397995863263,0.07047139582715997,0.98240983,0.99648505,0.99681216,0.98930484,0.99714226
0.98945516,0.012595787460983568,0.05034678066218058,0.98153037,0.995826,0.9967022,0.97404844,0.9975792
0.9789104,0.009098920561222612,0.05035864955648556,0.9859279,0.99626535,0.9965923,0.99286985,0.9969224
0.9789104,0.0008863149692802038,0.09485168533287407,0.9868074,0.9997803,0.9995603,0.99464285,0.99934125
0.97363794,0.013981584135471565,0.1279126836050639,0.98328936,0.99670476,0.9963724,0.9928315,0.9960483
0.9806678,0.013556080533060368,0.07947842616963022,0.9859279,0.99648505,0.9961526,0.991119,0.99582875
0.9841828,0.016621777511951055,0.051552537114553924,0.9903254,0.9956063,0.99516326,0.9964413,0.9947322
0.98242533,0.005182218049278196,0.07269641268929501,0.9894459,0.99824256,0.9981313,0.9964349,0.9980233
0.9859402,0.018925943470792767,0.03961588749716204,0.9868074,0.9956063,0.9959327,0.9876761,0.9962629
0.9841828,0.006964525944054583,0.07154867061558828,0.9912049,0.99824256,0.9978015,0.99821746,0.99736613
0.9806678,0.008327814089505383,0.06879360991676568,0.9868074,0.9975835,0.9975816,0.99288255,0.9975835
0.99121267,0.013496671899531847,0.09593633344010966,0.98240983,0.99780315,0.9978015,0.97409326,0.99780315
0.97363794,0.014380032603834879,0.09263453899110628,0.98240983,0.9969244,0.9965923,0.9910554,0.99626786
0.9876977,0.009150451107824724,0.10225024917169838,0.9894459,0.99780315,0.9978015,0.9911817,0.99780315
0.9789104,0.004368470089105906,0.14504286981758227,0.98240983,0.9989016,0.998571,0.9858407,0.9982437
0.943761,0.017931279768729214,0.20998518470929084,0.96921724,0.99648505,0.9963724,0.99444443,0.9962662
0.9841828,0.01874312074379942,0.09305454045969369,0.98328936,0.99494725,0.9949434,0.98245615,0.99494725
0.9859402,0.010771970539327455,0.11245287177492175,0.9876869,0.99670476,0.99725187,0.98941797,0.99780077
0.98242533,0.0027513969605807665,0.10032406173804896,0.9859279,0.9989016,0.9990107,0.98938054,0.99912107
0.9806678,0.019233459577578303,0.1408302225245737,0.9876869,0.99516696,0.99516326,0.9946524,0.99516696
0.9859402,0.011363575882402695,0.12198144375800749,0.9876869,0.9984622,0.9980213,0.98941797,0.9975856
0.97539544,0.014913108001624337,0.09093942316249631,0.98328936,0.99670476,0.997032,0.9910714,0.9973621
0.9771529,0.006622620045731602,0.11142140204260359,0.98504835,0.99780315,0.9979114,0.99285716,0.99802244
0.9876977,0.00730743498079588,0.11272564216854518,0.9876869,0.99802285,0.9980213,0.9876977,0.99802285
0.97539544,0.014578087417577582,0.06721324725369085,0.9868074,0.9960457,0.9962625,0.99820143,0.9964835
0.9789104,0.003916626575395511,0.13389035682340508,0.98240983,0.9986819,0.9986809,0.9858407,0.9986819
0.9859402,0.010070928491686823,0.0934527177360041,0.9859279,0.99626535,0.99681216,0.9859402,0.9973609
0.9841828,0.008504800905087938,0.11049811476049858,0.9885664,0.9989016,0.9981313,0.9929078,0.99736786
0.9771529,0.009703566908157539,0.1856760067904061,0.9859279,0.99780315,0.9982412,0.99463326,0.9986807
0.9771529,0.014138407928067162,0.05079034586555394,0.98504835,0.99516696,0.9957129,0.99285716,0.9962613
0.9859402,0.012641816171032806,0.06676046886804937,0.9885664,0.9973638,0.9965923,0.99116606,0.99583244
0.98242533,0.002342086904519591,0.11245851219985219,0.98504835,0.99934095,0.9992305,0.9876325,0.9991215
0.97012305,0.012001767337854234,0.07366910013366725,0.98240983,0.9975835,0.997032,0.9945946,0.9964889
0.9841828,0.0065657329958398085,0.13209132305218735,0.9868074,0.9973638,0.9978015,0.9893993,0.998241
0.9841828,0.021907821057948713,0.14571458094292555,0.97889185,0.99912125,0.9989007,0.973913,0.9986825
0.9806678,0.022811376496026835,0.09064094113033035,0.9868074,0.9929701,0.99318457,0.99288255,0.9934066
0.97363794,0.002784834728915773,0.16826525119892077,0.98240983,0.99912125,0.9990107,0.9910554,0.99890184
0.9841828,0.0018745227553939728,0.13749333132058095,0.9859279,0.99934095,0.9992305,0.9876543,0.9991215
0.9771529,0.0008139193965508548,0.23059963218075852,0.98504835,0.99956065,0.9996702,0.99285716,0.9997803
0.9789104,0.0014901371720121275,0.1559673428088219,0.98240983,0.9989016,0.9992305,0.9858407,0.99956036
0.9806678,0.020577786931670023,0.04626006158241338,0.9859279,0.995826,0.9962625,0.991119,0.99670184
0.9841828,0.01102733912746011,0.11999649448422355,0.9841689,0.9971441,0.9969221,0.9841828,0.9967062
0.98945516,0.014538524666626763,0.14918875500433257,0.9894459,0.99648505,0.997032,0.98945516,0.9975808
0.98242533,0.01289794186627596,0.08990208840103746,0.9841689,0.99780315,0.9975816,0.9858906,0.99736494
0.9806678,0.0030082609954893004,0.17877567309604658,0.9841689,0.99912125,0.9992305,0.98761064,0.99934083
