val_recall_8,accuracy,val_precision_8,val_loss,val_accuracy,precision_8,recall_8,loss
0.77504396,0.74233264,0.94635195,0.32885064511692486,0.86543536,0.73937553,0.74912125,0.5011360207190714
0.82073814,0.87083656,0.93963784,0.25077188278054113,0.883905,0.8920362,0.8440246,0.3048970548787608
0.80316347,0.8898538,0.9621053,0.2417538656912677,0.88566405,0.9127907,0.8622584,0.2563839635479124
0.87873465,0.9012861,0.9451796,0.20781902873937383,0.9138083,0.9264706,0.8719244,0.22756387398715308
0.8804921,0.9162361,0.9709302,0.17139995643725162,0.9270009,0.9372404,0.892355,0.20625105848231018
0.91915643,0.92305154,0.94404334,0.16614717248080085,0.9322779,0.94073224,0.9031195,0.18856859309944837
0.9490334,0.9353633,0.94736844,0.13618058139434458,0.94810903,0.94821346,0.9211336,0.16710920150069167
0.9578207,0.9355832,0.9578207,0.12616470953677894,0.95778364,0.9442204,0.9259666,0.16469352682874028
0.8330404,0.9458063,0.98956156,0.22801259410038532,0.91204923,0.95372236,0.93717045,0.14023325762209715
0.9525483,0.94987357,0.9678571,0.10738656239635673,0.96042216,0.95693886,0.9422232,0.12857657669627515
