accuracy,precision_1,val_loss,val_accuracy,recall_1,val_precision_1,loss,val_recall_1
0.84764206,0.8356658,0.2241155510622622,0.9155673,0.86577326,0.9720559,0.34542237677403276,0.85588753
0.9233813,0.9405714,0.1369601910512793,0.94898856,0.90399826,0.9722736,0.20671954847023757,0.9244288
0.93591297,0.9517414,0.11680282698872603,0.9630607,0.9184974,0.97307,0.1705698586603762,0.9525483
0.950753,0.96195406,0.10441450909590709,0.96745825,0.93870825,0.9683099,0.14047989755846593,0.9666081
0.9531714,0.9631792,0.10236267759796128,0.9648197,0.9424429,0.9835466,0.1306764129668534,0.94551843
0.9570188,0.96533215,0.09514932394247037,0.9639402,0.9481546,0.98708487,0.11769100414623651,0.94024605
0.9629548,0.97052914,0.08712211301062717,0.97185576,0.9549649,0.989071,0.10458125267205974,0.9543058
0.96592283,0.97217274,0.08300575768779515,0.9683377,0.9593585,0.96836555,0.0948046801817661,0.96836555
0.96834123,0.9727273,0.0670596489177236,0.9762533,0.9637522,0.98049647,0.08901142601748013,0.9718805
0.97394747,0.9778516,0.07798991138485845,0.97185576,0.96990335,0.989071,0.08027216417831433,0.9543058
